timestamp,robot_name,par,timeframe,direcao,score_tecnico,contributing_indicators,reason
2025-04-13 04:52:28,frouxo,TRXUSDT,1d,LONG,1.0083333333333333,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:52:28,frouxo,XRPUSDT,1d,LONG,1.1083333333333334,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:52:28,frouxo,DOGEUSDT,1d,SHORT,0.8916666666666666,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:53:21,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:53:21,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:53:21,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:54:23,frouxo,DOGEUSDT,1d,SHORT,0.875,MACD;Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:54:23,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:54:23,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:55:19,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:55:19,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:55:19,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:56:24,frouxo,XRPUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:56:24,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:56:24,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:57:20,frouxo,XRPUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:57:20,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:57:21,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:58:22,frouxo,XRPUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:58:22,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:58:22,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:59:14,frouxo,XRPUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:59:14,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 04:59:14,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:00:16,frouxo,XRPUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:00:16,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:00:16,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:01:18,frouxo,XRPUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:01:18,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:01:18,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:02:24,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:02:24,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:02:24,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:03:17,frouxo,XRPUSDT,1d,SHORT,0.875,MACD;Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:03:17,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:03:17,frouxo,DOGEUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:04:20,frouxo,TRXUSDT,1d,LONG,0.8250000000000001,Swing Trade Composite,Limite de trades simultâneos atingido
2025-04-13 05:04:20,frouxo,XRPUSDT,1d,SHORT,0.6749999999999999,Swing Trade Composite,Limite de trades simultâneos atingido
